City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,zabid,14.1951,43.3152,31.29,57,23,1.64,YE,1684813043
253,luwuk,-0.9516,122.7875,29.74,69,54,3.5,ID,1684813043
254,paulden,34.8856,-112.4682,23.55,41,52,0.89,US,1684813043
255,san antonio de pale,-1.4014,5.6325,26.0,78,84,3.87,GQ,1684813044
256,tamanrasset,22.785,5.5228,17.95,11,0,2.06,DZ,1684813044
257,sakaraha,-22.9,44.5333,14.86,90,2,1.59,MG,1684813044
258,omdurman,15.6445,32.4777,29.33,15,1,4.58,SD,1684813044
259,nyurba,63.2842,118.3319,11.56,27,80,2.59,RU,1684813045
260,albertina,-22.2008,-46.6158,12.39,84,53,2.35,BR,1684813045
261,murghob,38.1702,73.9667,4.94,63,100,1.95,TJ,1684813045
262,ketchikan,55.3422,-131.6461,16.26,41,0,3.6,US,1684813045
263,muntok,-2.0667,105.1833,29.58,69,18,2.63,ID,1684813045
264,ancud,-41.8697,-73.8203,10.42,88,100,17.35,CL,1684813046
265,todos santos,23.45,-110.2167,20.09,68,25,3.6,MX,1684813046
266,marabba,12.35,32.1833,29.89,8,7,3.9,SD,1684813046
267,saint-jean-de-monts,46.7833,-2.0667,13.16,88,24,7.36,FR,1684812996
268,bandarbeyla,9.4942,50.8122,28.02,77,42,3.56,SO,1684813047
269,kuching,1.55,110.3333,30.63,86,20,1.54,MY,1684813047
270,buka,40.8108,69.1986,25.22,33,100,2.42,UZ,1684813047
271,san felipe,10.3399,-68.7425,22.22,93,92,1.56,VE,1684813047
272,stanley,54.868,-1.6985,7.65,92,75,1.03,GB,1684813047
273,tiruppuvanam,9.8333,78.2667,31.21,66,40,1.54,IN,1684813048
274,la'ie,21.6477,-157.9253,28.98,74,100,3.58,US,1684813048
275,flying fish cove,-10.4217,105.6791,27.82,78,100,5.66,CX,1684813048
276,idri,27.5,13.2667,21.08,17,33,4.38,LY,1684813049
277,angahuan,19.55,-102.1833,12.34,68,55,0.8,MX,1684813049
278,kingston,17.997,-76.7936,27.53,85,20,1.54,JM,1684813049
279,sihanoukville,10.6093,103.5296,24.97,100,100,1.03,KH,1684813049
280,andkhoy,36.9529,65.1238,34.45,15,99,3.3,AF,1684813049
281,vikhorevka,56.1201,101.1636,15.69,38,100,4.0,RU,1684813050
282,i-n-salah,27.1935,2.4607,23.12,17,97,2.54,DZ,1684813050
283,tralee,52.2704,-9.7026,11.05,74,100,4.34,IE,1684813050
284,nebbi,2.4783,31.0889,18.78,90,77,1.42,UG,1684813050
285,luwingu,-10.2621,29.9271,18.24,71,100,1.95,ZM,1684813050
286,wynyard,-41.0,145.7167,16.1,64,100,3.74,AU,1684813051
287,cotoca,-17.8167,-63.05,23.92,92,47,3.42,BO,1684813051
288,chadron,42.8294,-102.9999,22.2,57,0,5.14,US,1684813051
289,cumnock,55.4544,-4.2664,9.33,90,100,2.31,GB,1684813051
290,shiprock,36.7855,-108.687,17.19,35,52,1.34,US,1684813052
291,pervomayskoye,43.919,46.7102,20.01,69,9,2.12,RU,1684813052
292,kasangulu,-4.5911,15.1708,23.52,94,100,0.84,CD,1684813052
293,caleta de carquin,-11.0925,-77.6267,20.91,85,65,4.53,PE,1684813052
294,al quwayrah,29.8004,35.3116,19.0,45,2,1.64,JO,1684813052
295,chimichagua,9.2578,-73.8123,24.2,96,100,1.36,CO,1684813053
296,sokoni,-6.4333,39.55,24.92,79,85,4.14,TZ,1684813053
297,shimoda,34.6667,138.95,15.2,81,100,2.26,JP,1684813053
298,itamaraca,-7.7478,-34.8256,25.03,98,37,1.93,BR,1684813053
299,new norfolk,-42.7826,147.0587,15.51,62,100,1.78,AU,1684813053
300,albacete,38.8333,-2.0,12.45,88,75,5.14,ES,1684813054
301,pingliang,35.5392,106.6861,17.83,36,100,3.06,CN,1684813054
302,cururupu,-1.8283,-44.8683,24.24,96,62,0.45,BR,1684813054
303,alice springs,-23.7,133.8833,17.75,34,0,4.12,AU,1684813054
304,okha,53.5739,142.9478,6.22,69,21,2.98,RU,1684813054
305,tanah rata,4.475,101.3704,20.78,63,99,1.95,MY,1684813055
306,relizane,35.7373,0.556,15.89,85,100,7.3,DZ,1684813055
307,west bay,19.3667,-81.4167,28.33,79,20,2.57,KY,1684813055
308,laguna,38.421,-121.4238,27.56,49,0,5.14,US,1684813055
309,sisimiut,66.9395,-53.6735,-2.56,87,89,6.75,GL,1684813055
310,chernyshevsk,52.5243,117.0174,17.38,35,100,4.33,RU,1684813056
311,queenstown,-31.8976,26.8753,8.32,29,100,2.72,ZA,1684813056
312,tyukhtet,56.5389,89.3011,15.11,37,17,4.35,RU,1684813056
313,rovaniemi,66.5,25.7167,15.67,55,0,3.6,FI,1684813056
314,egilsstadir,65.2653,-14.3948,5.95,65,75,1.54,IS,1684813056
315,belyy yar,53.6039,91.3903,19.94,24,0,7.0,RU,1684813057
316,lionel town,17.8101,-77.2406,27.94,82,12,0.74,JM,1684813057
317,laojunmiao,39.8333,97.7333,18.81,24,100,10.76,CN,1684813057
318,hobyo,5.3505,48.5268,28.64,75,56,6.17,SO,1684813057
319,sinjar,36.3209,41.8754,23.97,37,0,5.59,IQ,1684813057
320,aripuana,-9.1667,-60.6333,25.19,81,94,0.69,BR,1684813058
321,st. john's,47.5649,-52.7093,3.15,92,100,5.36,CA,1684813053
322,opuwo,-18.0607,13.84,14.24,54,0,1.24,NA,1684813058
323,prince rupert,54.3161,-130.3201,10.05,81,0,9.77,CA,1684813058
324,antsiranana,-12.2787,49.2917,24.42,83,40,3.09,MG,1684813058
325,bonthe,7.5264,-12.505,26.69,85,100,2.14,SL,1684813059
326,santa ines,-3.6667,-45.38,24.32,86,59,1.67,BR,1684813059
327,balaguer,41.7912,0.8109,13.57,92,87,1.36,ES,1684813059
328,faya-largeau,17.9257,19.1043,30.74,33,32,3.5,TD,1684813059
329,umm kaddadah,13.6017,26.6876,28.43,12,5,4.22,SD,1684813059
330,talcahuano,-36.7167,-73.1167,12.82,100,100,10.8,CL,1684813060
331,sao felix do xingu,-6.6447,-51.995,22.38,92,12,1.27,BR,1684813060
332,port douglas,-16.4833,145.4667,24.44,69,89,4.14,AU,1684813060
333,quellon,-43.1167,-73.6167,12.14,76,100,8.75,CL,1684813060
334,palau,7.503,134.621,28.98,74,75,4.63,PW,1684813060
335,moussoro,13.6408,16.4901,31.98,37,79,4.32,TD,1684813061
336,pereira barreto,-20.6383,-51.1092,17.13,56,0,3.32,BR,1684813061
337,novokruchininskiy,51.7833,113.7667,13.85,29,87,5.96,RU,1684813061
338,vila franca do campo,37.7167,-25.4333,17.23,90,16,2.27,PT,1684813061
339,serdar,38.9764,56.2757,29.86,30,5,3.85,TM,1684813061
340,cabo san lucas,22.8909,-109.9124,30.61,24,0,4.12,MX,1684812767
341,tsiombe,-25.3,45.4833,18.57,72,89,2.42,MG,1684813062
342,gypsum,39.6469,-106.9517,11.75,87,100,0.9,US,1684813062
343,berdigestyakh,62.0989,126.6992,9.24,27,72,2.43,RU,1684813062
344,grande prairie,55.1667,-118.8027,10.1,100,100,7.2,CA,1684813062
345,yakeshi,49.2833,120.7333,23.65,15,61,6.38,CN,1684813063
346,tolanaro,-25.0319,46.9987,21.04,78,40,4.12,MG,1684813063
347,nizhnyaya tavda,57.6731,66.1725,22.31,32,8,1.5,RU,1684813063
348,rabaul,-4.1967,152.1721,26.64,84,100,7.25,PG,1684813063
349,qarazhal,48.0078,70.7903,21.17,26,2,6.8,KZ,1684813063
350,howard springs,-12.497,131.047,28.95,45,4,2.75,AU,1684813064
351,belleville,44.1788,-77.3705,9.38,79,20,1.03,CA,1684812796
352,coron,11.9986,120.2043,28.71,75,100,1.34,PH,1684813064
353,luderitz,-26.6481,15.1594,12.94,72,12,2.82,NA,1684813064
354,sinabang,2.4803,96.3801,28.05,79,97,1.52,ID,1684813065
355,sao vicente,-23.9631,-46.3919,23.48,26,51,0.45,BR,1684812814
356,fortuna,40.5982,-124.1573,12.74,83,100,5.14,US,1684813065
357,glace bay,46.1969,-59.957,5.05,77,100,7.2,CA,1684813004
358,razole,16.4833,81.8333,33.25,57,62,3.26,IN,1684813065
359,antigua,14.5611,-90.7344,19.6,89,100,1.44,GT,1684813066
360,turbat,26.0023,63.044,34.03,39,42,0.82,PK,1684813066
361,venice,27.0998,-82.4543,24.99,91,0,5.66,US,1684813066
